provincia,ciudad,sector,tipo_propiedad,habitaciones,banos,parqueos,m2_construccion,precio_usd
La Romana,La Romana,Buena Vista,Penthouse,3,4,2,517,1056231.00
Distrito Nacional,Santo Domingo,Naco,Apartamento,3,3,2,205,682035.00
Santo Domingo,Santo Domingo Este,San Isidro,Villa,4,4,2,626,533978.00
La Romana,La Romana,Central Romana,Apartamento,2,3,2,67,118992.00
Samaná,Las Terrenas,Cosón,Apartamento,1,3,2,220,425920.00
La Altagracia,Punta Cana,El Cortecito,Apartamento,2,2,2,220,412720.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Apartamento,1,3,2,103,203940.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,4,4,2,222,341214.00
La Romana,La Romana,,Apartamento,2,1,2,181,323266.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Casa,4,3,2,227,306677.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Villa,3,5,3,379,862604.00
Puerto Plata,Puerto Plata,Torre Alta,Apartamento,2,1,1,249,490530.00
Santo Domingo,Santo Domingo Oeste,Prolongación 27,Villa,6,2,4,435,477630.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Villa,5,5,4,696,1199208.00
La Romana,La Romana,Buena Vista,Villa,6,5,3,433,933115.00
Santiago,Santiago de los Caballeros,Villa Olga,Apartamento,3,4,1,232,390920.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,1,2,1,109,205356.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Casa,6,4,4,657,1117557.00
Distrito Nacional,Santo Domingo,Evaristo Morales,Villa,6,6,4,200,405800.00
Puerto Plata,Puerto Plata,Torre Alta,Casa,5,4,3,609,1188768.00
La Romana,La Romana,Central Romana,Villa,6,3,3,626,1154344.00
Distrito Nacional,Santo Domingo,Renacimiento,Apartamento,4,2,2,82,94710.00
Puerto Plata,Puerto Plata,Playa Dorada,Apartamento,1,1,2,84,171780.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,5,3,3,514,792074.00
Puerto Plata,Puerto Plata,Costámbar,Apartamento,4,3,1,170,193630.00
La Romana,La Romana,Casa de Campo,Townhouse,3,2,1,249,456168.00
Distrito Nacional,Santo Domingo,Evaristo Morales,Casa,3,6,2,424,469792.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Casa,4,5,4,442,709410.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,2,3,1,198,228096.00
Santiago,Santiago de los Caballeros,La Barranquita,Apartamento,2,1,1,76,130492.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,1,3,2,219,406902.00
Santo Domingo,Santo Domingo Este,Las Américas,Apartamento,1,4,2,77,152999.00
La Altagracia,Punta Cana,White Sands,Villa,6,3,3,360,690480.00
Santiago,Santiago de los Caballeros,Villa Olga,Apartamento,3,3,1,72,120312.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,4,3,1,176,310640.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Casa,5,4,3,462,918456.00
Distrito Nacional,Santo Domingo,Sarasota,Penthouse,3,3,4,428,1070000.00
La Romana,La Romana,Casa de Campo,Apartamento,4,4,1,73,192574.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Apartamento,3,3,2,191,344564.00
Puerto Plata,Puerto Plata,Playa Dorada,Apartamento,4,3,2,114,179208.00
Santo Domingo,Santo Domingo Este,Lucerna,Casa,3,6,4,369,458298.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Casa,5,2,2,483,635145.00
La Altagracia,Punta Cana,Cap Cana,Apartamento,2,3,1,63,165753.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Casa,3,6,3,660,1207800.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,3,4,3,296,290968.00
Puerto Plata,Puerto Plata,Torre Alta,Casa,3,3,2,491,502784.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,4,2,2,165,330990.00
Santiago,Santiago de los Caballeros,La Barranquita,Apartamento,1,1,1,210,321720.00
Santiago,Santiago de los Caballeros,El Dorado II,Casa,4,6,2,340,290700.00
Puerto Plata,Puerto Plata,Torre Alta,Apartamento,4,3,1,109,184210.00
Santiago,Santiago de los Caballeros,Villa Olga,Casa,4,4,4,382,657040.00
Santo Domingo,Santo Domingo Este,Las Américas,Casa,4,4,2,253,245916.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Apartamento,3,4,1,169,291018.00
Puerto Plata,Puerto Plata,Costámbar,Apartamento,4,4,1,203,239743.00
Puerto Plata,Puerto Plata,Costámbar,Apartamento,1,1,1,222,253524.00
Santiago,Santiago de los Caballeros,Gurabo,Apartamento,2,4,2,121,177991.00
Samaná,Las Terrenas,Cosón,Apartamento,4,1,2,139,269104.00
La Altagracia,Punta Cana,Punta Cana Village,Apartamento,2,3,2,227,479878.00
Santiago,Santiago de los Caballeros,La Barranquita,Villa,3,5,2,502,685732.00
La Altagracia,Punta Cana,Bávaro,Townhouse,4,1,2,155,187705.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,4,4,1,102,167892.00
La Romana,La Romana,Casa de Campo,Penthouse,4,5,3,282,681312.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,3,1,2,73,113880.00
Santo Domingo,Santo Domingo Este,San Isidro,Penthouse,5,3,3,369,937998.00
Santiago,Santiago de los Caballeros,La Barranquita,Villa,6,3,3,744,852624.00
Puerto Plata,Puerto Plata,Cabarete,Penthouse,5,5,2,255,526575.00
Puerto Plata,Puerto Plata,Costámbar,Penthouse,5,4,2,364,768404.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Townhouse,4,2,2,187,391017.00
La Altagracia,Punta Cana,Punta Cana Village,Apartamento,4,4,2,98,155722.00
Samaná,Las Terrenas,Cosón,Casa,6,2,3,664,1523216.00
Puerto Plata,Puerto Plata,Torre Alta,Townhouse,2,4,1,82,174496.00
Samaná,Las Terrenas,Cosón,Villa,6,2,4,647,570007.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Villa,4,2,3,451,695893.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,1,3,2,131,274969.00
La Romana,La Romana,Casa de Campo,Apartamento,2,3,1,241,479831.00
Puerto Plata,Puerto Plata,Sosúa,Apartamento,1,4,1,227,388851.00
Distrito Nacional,Santo Domingo,Piantini,Apartamento,1,3,2,145,445440.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Apartamento,2,2,1,70,131810.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Casa,4,3,3,440,788040.00
Santiago,Santiago de los Caballeros,Gurabo,Villa,6,4,4,739,866847.00
Santo Domingo,Santo Domingo Este,San Isidro,Penthouse,5,4,4,437,879244.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,6,5,2,422,688282.00
Samaná,Las Terrenas,Cosón,Apartamento,3,1,2,120,133920.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,1,4,2,248,389608.00
Samaná,Las Terrenas,Cosón,Casa,4,6,3,320,683520.00
Santo Domingo,Santo Domingo Este,Lucerna,Apartamento,3,4,1,198,365706.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Penthouse,4,5,3,309,590499.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Apartamento,3,2,2,173,294792.00
La Altagracia,Punta Cana,Bávaro,Apartamento,1,2,1,223,426599.00
La Romana,La Romana,Buena Vista,Casa,6,2,3,729,804087.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,3,4,2,77,121506.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,3,2,1,212,434600.00
Santiago,Santiago de los Caballeros,La Barranquita,Casa,3,2,3,684,743508.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Villa,4,5,3,559,1242657.00
La Romana,La Romana,Buena Vista,Apartamento,2,4,1,175,338625.00
Santiago,Santiago de los Caballeros,Gurabo,Apartamento,2,4,2,110,202620.00
Santo Domingo,Santo Domingo Este,Lucerna,Apartamento,3,1,2,120,178560.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Villa,3,3,4,201,191553.00
La Altagracia,Punta Cana,Cap Cana,Townhouse,2,1,1,200,478000.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,1,3,1,83,133879.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,1,2,1,141,223767.00
Samaná,Las Terrenas,Cosón,Casa,5,2,2,611,1177397.00
Santo Domingo,Santo Domingo Este,Lucerna,Casa,6,4,4,291,516525.00
La Romana,La Romana,Casa de Campo,Penthouse,3,5,4,486,1594566.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Townhouse,1,4,2,159,210039.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Penthouse,3,3,3,531,957393.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Casa,5,5,4,723,1050519.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,1,1,1,160,323840.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Apartamento,4,4,2,236,305384.00
La Altagracia,Punta Cana,El Cortecito,Apartamento,3,3,1,225,465975.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Villa,3,5,2,561,626076.00
La Romana,La Romana,Casa de Campo,Apartamento,3,1,2,140,426580.00
Distrito Nacional,Santo Domingo,Gazcue,Apartamento,3,1,1,89,185743.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,3,1,2,196,306348.00
Puerto Plata,Puerto Plata,Playa Dorada,Townhouse,1,3,1,96,159264.00
Santiago,Santiago de los Caballeros,Villa María,Apartamento,2,2,2,67,93130.00
Distrito Nacional,Santo Domingo,Naco,Apartamento,2,4,2,166,462476.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Apartamento,3,1,1,89,126558.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,3,4,2,174,348870.00
Puerto Plata,Puerto Plata,Costámbar,Casa,3,4,3,293,418990.00
Samaná,Las Terrenas,Cosón,Apartamento,3,1,1,151,183012.00
Distrito Nacional,Santo Domingo,Evaristo Morales,Apartamento,2,2,2,124,219604.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Apartamento,4,2,1,147,230937.00
La Romana,La Romana,Central Romana,Villa,5,2,3,223,388689.00
Distrito Nacional,Santo Domingo,El Millón,Penthouse,4,5,3,513,1194264.00
Puerto Plata,Puerto Plata,Costámbar,Casa,3,4,2,651,1472562.00
La Altagracia,Punta Cana,Bávaro,Apartamento,1,2,2,200,384000.00
La Romana,La Romana,Casa de Campo,Apartamento,3,3,1,135,302130.00
Santo Domingo,Santo Domingo Este,Las Américas,Apartamento,2,3,2,236,330872.00
Santo Domingo,Santo Domingo Oeste,Herrera,Casa,4,3,4,336,736512.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Townhouse,4,4,2,224,394464.00
La Altagracia,Punta Cana,Cap Cana,Apartamento,4,4,2,253,651728.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,1,3,2,165,194205.00
Distrito Nacional,Santo Domingo,La Julia,Villa,3,2,4,699,1144263.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,1,4,1,132,273768.00
La Romana,La Romana,Casa de Campo,Townhouse,4,1,2,232,457272.00
La Romana,La Romana,Central Romana,Casa,4,5,3,716,1374720.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,3,4,2,248,444416.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,3,1,2,74,139934.00
Santiago,Santiago de los Caballeros,Los Colegios,Apartamento,2,3,1,199,276411.00
La Altagracia,Punta Cana,Punta Cana Village,Townhouse,4,2,1,129,241359.00
La Altagracia,Punta Cana,Cap Cana,Apartamento,1,4,2,54,154170.00
Santiago,Santiago de los Caballeros,Cerro Alto,Townhouse,3,4,1,107,147767.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Casa,3,6,4,719,666513.00
La Altagracia,Punta Cana,Cocotal,Casa,6,3,2,365,827820.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,1,4,2,223,353678.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Casa,6,3,4,424,628792.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,4,4,2,249,468618.00
La Romana,La Romana,Central Romana,Apartamento,2,2,1,114,137484.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,1,1,2,71,101388.00
Santiago,Santiago de los Caballeros,Villa Olga,Penthouse,3,4,2,333,806859.00
La Altagracia,Punta Cana,Bávaro,Apartamento,4,3,1,148,187516.00
La Altagracia,Punta Cana,Cap Cana,Casa,3,4,2,320,460160.00
Santiago,Santiago de los Caballeros,Villa Olga,Apartamento,2,4,2,207,229770.00
Santo Domingo,Santo Domingo Este,Alma Rosa,Casa,4,6,4,720,1235520.00
Santo Domingo,Santo Domingo Este,Autopista San Isidro,Casa,5,2,2,424,724616.00
Samaná,Las Terrenas,Cosón,Casa,6,6,4,196,420224.00
La Romana,La Romana,Central Romana,Casa,4,4,3,181,381729.00
La Altagracia,Punta Cana,Cap Cana,Apartamento,2,1,2,67,222105.00
La Romana,La Romana,Central Romana,Casa,6,,4,576,929664.00
Distrito Nacional,Santo Domingo,La Julia,Apartamento,3,2,1,247,439660.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,3,2,2,228,474240.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Casa,6,2,3,386,362454.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,3,4,2,114,133836.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,1,3,2,81,150093.00
Puerto Plata,Puerto Plata,Torre Alta,Apartamento,4,3,1,177,374886.00
La Altagracia,Punta Cana,Cocotal,Casa,3,5,2,620,1291460.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Apartamento,1,3,2,128,257664.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,4,3,2,60,109320.00
Samaná,Las Terrenas,Cosón,Casa,3,2,4,595,948430.00
La Romana,La Romana,Central Romana,Apartamento,1,2,2,58,78764.00
Santo Domingo,Santo Domingo Este,Ensanche Ozama,Apartamento,3,3,2,195,227370.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,3,3,2,,307965.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Apartamento,3,2,1,56,82936.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,1,3,2,230,462990.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,4,2,1,84,105084.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Villa,6,2,4,507,1124019.00
La Altagracia,Punta Cana,White Sands,Casa,5,4,2,358,569220.00
La Romana,La Romana,Casa de Campo,Casa,4,3,2,685,958315.00
La Altagracia,Punta Cana,Cocotal,Apartamento,4,2,1,66,114378.00
Puerto Plata,Puerto Plata,Torre Alta,Apartamento,4,1,1,131,163881.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,3,2,1,246,335544.00
Puerto Plata,Puerto Plata,Playa Dorada,Penthouse,3,3,4,298,632356.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Apartamento,2,3,2,70,112910.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Casa,5,6,4,275,516725.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Casa,5,6,2,209,212344.00
Distrito Nacional,Santo Domingo,Mirador Sur,Casa,4,6,3,211,394359.00
La Romana,La Romana,Buena Vista,Apartamento,3,4,1,256,494336.00
Santiago,Santiago de los Caballeros,Villa Olga,Casa,3,3,3,605,1113805.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,2,3,2,237,428259.00
Puerto Plata,Puerto Plata,Cabarete,Apartamento,1,3,1,169,228150.00
Santiago,Santiago de los Caballeros,Villa Olga,Casa,3,2,3,573,1209030.00
Puerto Plata,Puerto Plata,Cabarete,Townhouse,2,3,2,98,139748.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,3,4,1,73,139065.00
La Romana,La Romana,Buena Vista,Townhouse,2,3,1,62,103912.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Villa,6,4,4,188,201160.00
Puerto Plata,Puerto Plata,Cabarete,Villa,5,5,3,226,377420.00
Distrito Nacional,Santo Domingo,Mirador Sur,Apartamento,3,3,1,148,315536.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Casa,3,3,2,583,940962.00
La Altagracia,Punta Cana,Cocotal,Penthouse,3,3,4,,1114560.00
Distrito Nacional,Santo Domingo,Piantini,Casa,5,5,4,647,1158130.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Casa,5,3,3,486,1003590.00
La Altagracia,Punta Cana,Cocotal,Villa,6,6,3,666,588744.00
La Altagracia,Punta Cana,Punta Cana Village,Apartamento,4,3,1,202,418342.00
Santiago,Santiago de los Caballeros,La Trinitaria,Apartamento,4,2,2,87,215151.00
Distrito Nacional,Santo Domingo,Mirador Sur,Penthouse,3,3,2,445,953190.00
Puerto Plata,Puerto Plata,Cabarete,Apartamento,2,4,2,238,292026.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Apartamento,4,4,2,94,191854.00
La Romana,La Romana,Buena Vista,Apartamento,3,4,1,113,188823.00
La Romana,La Romana,Buena Vista,Casa,5,4,4,392,887096.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Apartamento,3,3,1,196,367892.00
Puerto Plata,Puerto Plata,Costámbar,Townhouse,2,3,1,123,155103.00
La Altagracia,Punta Cana,El Cortecito,Apartamento,4,2,1,187,309485.00
La Romana,La Romana,Central Romana,Casa,3,6,4,425,572050.00
Distrito Nacional,Santo Domingo,Sarasota,Casa,4,2,2,603,920178.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,2,1,,154,319396.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,1,1,1,186,218736.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Villa,4,2,3,687,845697.00
Santiago,Santiago de los Caballeros,Gurabo,Casa,3,4,3,645,1395135.00
La Romana,La Romana,Central Romana,Apartamento,2,4,2,99,131670.00
La Altagracia,Punta Cana,Cap Cana,Apartamento,3,2,1,238,660212.00
Santiago,Santiago de los Caballeros,La Trinitaria,Casa,6,5,4,515,819365.00
Puerto Plata,Puerto Plata,Sosúa,Casa,4,5,3,434,374542.00
Santiago,Santiago de los Caballeros,La Barranquita,Casa,5,4,3,191,264535.00
La Altagracia,Punta Cana,White Sands,Casa,3,5,3,343,576240.00
La Romana,La Romana,Central Romana,Apartamento,1,3,2,207,321264.00
Santo Domingo,Santo Domingo Oeste,Prolongación 27,Apartamento,4,3,2,229,472656.00
La Romana,La Romana,Central Romana,Villa,4,6,2,718,1266552.00
La Romana,La Romana,Central Romana,Apartamento,1,1,1,196,275576.00
Santo Domingo,Santo Domingo Norte,Colinas del Arroyo,Villa,6,2,4,390,797160.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Villa,6,2,3,315,598815.00
Puerto Plata,Puerto Plata,Torre Alta,Apartamento,4,3,1,151,244771.00
Distrito Nacional,Santo Domingo,Evaristo Morales,Apartamento,1,4,2,229,281670.00
La Romana,La Romana,Casa de Campo,Penthouse,3,4,2,366,1325652.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Apartamento,4,3,2,164,307172.00
Puerto Plata,Puerto Plata,Sosúa,Apartamento,2,3,1,95,180880.00
La Romana,La Romana,Casa de Campo,Apartamento,2,1,1,126,399924.00
La Romana,La Romana,Buena Vista,Apartamento,2,2,2,138,195546.00
Santiago,Santiago de los Caballeros,La Trinitaria,Penthouse,5,3,2,434,1855784.00
Distrito Nacional,Santo Domingo,Evaristo Morales,Casa,3,6,2,637,1321138.00
Distrito Nacional,Santo Domingo,Evaristo Morales,Apartamento,4,4,1,188,290272.00
Distrito Nacional,Santo Domingo,Bella Vista,Apartamento,3,2,2,197,345932.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Villa,4,5,3,461,449014.00
La Romana,La Romana,Central Romana,Villa,4,5,4,687,649902.00
La Altagracia,Punta Cana,White Sands,Apartamento,3,4,2,88,150832.00
Puerto Plata,Puerto Plata,Cabarete,Apartamento,4,2,1,126,175770.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Apartamento,4,2,2,112,181664.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,4,3,1,187,278630.00
Distrito Nacional,Santo Domingo,Gazcue,Apartamento,1,1,1,255,393720.00
San Pedro de Macorís,Juan Dolio,Metro Country Club,Villa,5,4,2,396,490644.00
Santo Domingo,Santo Domingo Este,Lucerna,Townhouse,4,2,1,151,240090.00
La Romana,La Romana,Buena Vista,Apartamento,4,4,2,128,209280.00
La Altagracia,Punta Cana,Cocotal,Villa,6,2,4,660,993300.00
Santo Domingo,Santo Domingo Oeste,Villa Aura,Apartamento,1,2,1,54,88236.00
La Romana,La Romana,Central Romana,Apartamento,4,3,1,100,177500.00
Santo Domingo,Santo Domingo Oeste,Manoguayabo,Apartamento,2,4,2,115,241500.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,5,3,2,739,1367150.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,1,1,1,155,214055.00
Santo Domingo,Santo Domingo Oeste,Herrera,Apartamento,1,2,2,145,177335.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,4,4,1,51,99042.00
Distrito Nacional,Santo Domingo,Piantini,Apartamento,3,3,1,178,546460.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Penthouse,5,3,2,318,880542.00
La Romana,La Romana,Buena Vista,Villa,5,5,2,562,944722.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Casa,4,4,4,262,573256.00
Distrito Nacional,Santo Domingo,Naco,Apartamento,4,4,1,213,369342.00
Santo Domingo,Santo Domingo Norte,Villa Mella,Apartamento,4,3,1,185,219595.00
Santo Domingo,Santo Domingo Oeste,Prolongación 27,Penthouse,5,5,3,358,571010.00
Santo Domingo,Santo Domingo Este,Lucerna,Penthouse,5,5,4,236,440612.00
La Altagracia,Punta Cana,Bávaro,Townhouse,2,4,1,126,180432.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,4,3,2,243,336798.00
Santo Domingo,Santo Domingo Este,Las Américas,Apartamento,3,1,1,161,253575.00
Santo Domingo,Santo Domingo Este,Coral Mall,Apartamento,4,3,1,212,351708.00
San Pedro de Macorís,Juan Dolio,Guavaberry,Casa,6,5,2,569,583225.00
Samaná,Las Terrenas,Cosón,Apartamento,1,1,2,89,167142.00
Santo Domingo,Santo Domingo Norte,Sabana Perdida,Apartamento,1,1,1,128,257280.00
La Altagracia,Punta Cana,Punta Cana Village,Casa,3,3,3,639,1271610.00
La Romana,La Romana,Central Romana,Apartamento,1,1,2,191,246390.00
Samaná,Las Terrenas,Pueblo de los Pescadores,Apartamento,4,1,2,155,293570.00
Santo Domingo,Santo Domingo Este,Lucerna,Penthouse,3,5,4,306,697374.00
Santo Domingo,Santo Domingo Norte,Avenida Jacobo Majluta,Casa,5,5,2,244,290848.00
Puerto Plata,Puerto Plata,Costámbar,Apartamento,4,1,2,114,182970.00
San Pedro de Macorís,Juan Dolio,Playa Juan Dolio,Apartamento,4,1,1,127,141351.00
Puerto Plata,Puerto Plata,Costámbar,Villa,6,4,3,522,903582.00
Samaná,Las Terrenas,Playa Bonita,Apartamento,2,4,2,95,181925.00
La Altagracia,Punta Cana,Punta Cana Village,Apartamento,4,2,2,146,244404.00
Puerto Plata,Puerto Plata,Costámbar,Casa,4,6,4,364,817544.00
La Romana,La Romana,Casa de Campo,Townhouse,4,2,2,254,667512.00
